"symbol","ensembl","log2FoldChange","padj","significance"
"PPIB","ENSG00000166794",0.89227522757089,1.00244312252242e-13,"NS"
"CDKN2C","ENSG00000123080",1.21557901569289,1.21225852750944e-13,"Up"
"IGLV1-40","ENSG00000211653",2.72786032147074,1.34855963541773e-13,"Up"
"CHEK1","ENSG00000149554",1.71897254287001,1.39308685853061e-13,"Up"
"ACOT7","ENSG00000097021",1.48217593713144,1.42754700632638e-13,"Up"
"CDC42BPA","ENSG00000143776",1.79468540427787,1.54809324050242e-13,"Up"
"FEN1","ENSG00000168496",1.19301546676593,1.74292461303307e-13,"Up"
"UBE2J1","ENSG00000198833",0.902263527932253,1.79164376724929e-13,"NS"
"KLRK1","ENSG00000213809",-2.04990433828777,1.95383903750339e-13,"Down"
"GAPDH","ENSG00000111640",0.972917786792488,2.44977473441916e-13,"NS"
"NME1","ENSG00000239672",1.16298634400218,3.33536294002693e-13,"Up"
"CDK1","ENSG00000170312",2.67406699095357,3.74293822214736e-13,"Up"
"MAFB","ENSG00000204103",1.57131202110459,4.02302396142104e-13,"Up"
"IGKV3-11","ENSG00000241351",2.51580821497243,4.26778066052544e-13,"Up"
"XK","ENSG00000047597",2.99012825014525,4.46835944386605e-13,"Up"
"ADAMTS2","ENSG00000087116",6.56395197880187,4.64168815050494e-13,"Up"
"ABLIM3","ENSG00000173210",2.29020394914532,5.25819803395498e-13,"Up"
"RNF111","ENSG00000157450",-0.63865275909432,6.71845495451432e-13,"NS"
"SERF2","ENSG00000140264",0.483674964197549,7.35922115446966e-13,"NS"
"B9D1","ENSG00000108641",1.5712210433707,7.35922115446966e-13,"Up"
"UQCRH","ENSG00000173660",0.728068313725385,7.39096854299376e-13,"NS"
"MYL6B","ENSG00000196465",1.30400954922298,1.02915442402831e-12,"Up"
"SSR4","ENSG00000180879",0.574699624447986,1.18111444169171e-12,"NS"
"IGLC2","ENSG00000211677",3.29318215421303,1.18111444169171e-12,"Up"
"CENPE","ENSG00000138778",1.7522860465812,1.32025091071373e-12,"Up"
"H4C9","ENSG00000276180",1.11656780365208,1.32025091071373e-12,"Up"
"ZNF304","ENSG00000131845",-1.89062845774936,1.48566700040716e-12,"Down"
"SLC16A14","ENSG00000163053",2.48741576966116,1.51577533311831e-12,"Up"
"CD63","ENSG00000135404",1.17675253767971,1.81241814668582e-12,"Up"
"SDC1","ENSG00000115884",4.87747788851185,1.95166855283807e-12,"Up"
"IGKV1-5","ENSG00000243466",3.05632998252236,2.14781457161314e-12,"Up"
"MAOB","ENSG00000069535",3.9275008466476,2.32930842952769e-12,"Up"
"EGF","ENSG00000138798",2.34568194029554,2.3308774071557e-12,"Up"
"H2AC14","ENSG00000276368",3.07226104399432,2.35935656203858e-12,"Up"
"IGLV5-45","ENSG00000211650",3.2144200797551,2.35935656203858e-12,"Up"
"FDXR","ENSG00000161513",0.926996416000126,2.59905678332964e-12,"NS"
"ZNF646","ENSG00000167395",-0.961111174011711,2.64968067568454e-12,"NS"
"NDC80","ENSG00000080986",1.60341110139138,3.03303108787136e-12,"Up"
"CENPU","ENSG00000151725",2.08121041118612,3.83796985691325e-12,"Up"
"SPAG5","ENSG00000076382",1.62919316579791,3.83796985691325e-12,"Up"
"TGFBR1","ENSG00000106799",-0.931287387123898,4.09376238250839e-12,"NS"
"MRPS15","ENSG00000116898",0.588443103205575,4.58802118973596e-12,"NS"
"LRRC59","ENSG00000108829",0.704711361371311,4.92062837759753e-12,"NS"
"ZNF419","ENSG00000105136",-1.31515088772283,5.1282686695124e-12,"Down"
"FMNL3","ENSG00000161791",-0.808735371107416,5.26622206841186e-12,"NS"
"IGHV3-11","ENSG00000211941",2.86779592250754,5.27855933883496e-12,"Up"
"BCOR","ENSG00000183337",-0.635231641738712,5.39873946633137e-12,"NS"
"IFI27L1","ENSG00000165948",1.24469796477047,5.65818079209519e-12,"Up"
"ANP32B","ENSG00000136938",0.563127944575075,5.8566353289416e-12,"NS"
"CLPTM1L","ENSG00000049656",0.542468937927922,5.88324168568998e-12,"NS"
"LRP8","ENSG00000157193",0.886293021974632,7.18247162519809e-12,"NS"
"H2BC21","ENSG00000184678",1.43249432781304,8.22315428189572e-12,"Up"
"IGHG3","ENSG00000211897",4.14655609533181,9.62516501980493e-12,"Up"
"TICRR","ENSG00000140534",2.38824234686342,9.62516501980493e-12,"Up"
"IGKV1-16","ENSG00000240864",2.57705359638264,1.00866219516755e-11,"Up"
"COX8A","ENSG00000176340",0.657057100947524,1.13135387733019e-11,"NS"
"PIMREG","ENSG00000129195",2.47184632641182,1.2280114794947e-11,"Up"
"ITGA2B","ENSG00000005961",2.32654838697384,1.2558532474468e-11,"Up"
"CA1","ENSG00000133742",5.97955435901922,1.39154339137851e-11,"Up"
